,app_name,minutes,device_count,Avg_time_spent_per_device,Rank(user based),Rank(minutes based)
0,Amazon Mobile (Mobile App),98950.8177,828,119.50581847826086,7.0,17.0
1,Amazon Music with Prime Music (Mobile App),18611.3592,126,147.70919999999998,16.0,13.0
2,Facebook (Mobile App),4624975.908,1911,2420.1862417582415,2.0,1.0
3,Facebook Messenger (Mobile App),2670211.1646,1912,1396.553956380753,1.0,2.0
4,Google Play (Mobile App),235396.4571,1844,127.6553454989154,3.0,16.0
5,Google Search (Mobile App),604126.971,1747,345.808226101889,5.0,8.0
6,GroupMe (Mobile App),12062.811599999999,92,131.11751739130435,17.0,15.0
7,Instagram (Mobile App),508117.1445,1092,465.30874038461536,6.0,5.0
8,Kindle (Mobile App),44492.2632,129,344.9012651162791,15.0,9.0
9,Microsoft Word (Mobile App),3609.522,72,50.13225,18.0,19.0
10,Netflix (Mobile App),198253.251,433,457.85970207852193,11.0,6.0
11,Outlook (Mobile App),41296.689,211,195.71890521327015,13.0,12.0
12,Pinterest (Mobile App),112829.9571,533,211.68847485928706,10.0,11.0
13,Sam's Club (Mobile App),100.16999999999999,2,50.084999999999994,21.0,20.0
14,Sam's Club Scan & Go (Mobile App),297.4104,7,42.487199999999994,20.0,21.0
15,Snapchat (Mobile App),296264.2662,823,359.980882381531,8.0,7.0
16,Tumblr (Mobile App),80677.6362,150,537.850908,14.0,3.0
17,Walmart (Mobile App),42551.4978,602,70.68355116279069,9.0,18.0
18,Yahoo Mail (Mobile App),98324.90639999999,396,248.29521818181817,12.0,10.0
19,Yahoo Newsroom (Mobile App),5947.7166,45,132.17148,19.0,14.0
20,YouTube (Mobile App),912781.5858,1755,520.1034676923077,4.0,4.0
