app_name,count,min,mean,Quartile1,median,Quartile3,std,max
Amazon Mobile (Mobile App),828,30.0888,119.50581847826086,49.28175,86.5809,167.3595,84.11488427633665,357.8526
Amazon Music with Prime Music (Mobile App),126,32.2812,147.70919999999998,53.97839999999999,98.0343,210.8295,122.79829577653398,477.7164
Facebook (Mobile App),1911,30.618000000000002,2420.1862417582415,925.8543,2307.0474,3679.3197,1683.8628938391173,5995.2312
Facebook Messenger (Mobile App),1912,30.618000000000002,1396.553956380753,428.6898,1172.6883,2101.0846500000002,1138.9054914517317,4386.312
Google Play (Mobile App),1844,30.0132,127.6553454989154,53.51535,86.2407,162.72899999999998,109.96601603075118,601.7382
Google Search (Mobile App),1747,30.0132,345.808226101889,106.2747,219.7314,432.5265,365.27392287204884,1990.3968
GroupMe (Mobile App),92,30.5424,131.11751739130435,57.6828,102.9672,190.40805,86.11198089943552,329.994
Instagram (Mobile App),1092,30.0132,465.30874038461536,111.48165,252.44729999999998,728.8407,447.59048719459935,1724.3226
Kindle (Mobile App),129,30.9204,344.9012651162791,51.2568,168.399,482.895,397.40826967593586,1641.2382
Microsoft Word (Mobile App),72,30.6558,50.13225,34.93665,45.5679,56.4165,18.60389758111811,103.2318
Netflix (Mobile App),433,30.429000000000002,457.85970207852193,78.7374,207.5598,608.769,538.4443855131204,2393.0802
Outlook (Mobile App),211,30.1266,195.71890521327015,69.8733,129.6162,300.132,152.7585321710566,586.0512
Pinterest (Mobile App),533,30.3156,211.68847485928706,86.0706,133.434,314.1558,172.36303277652402,715.365
Sam's Club (Mobile App),2,42.0714,50.084999999999994,46.078199999999995,50.084999999999994,54.0918,11.332941803433037,58.0986
Sam's Club Scan & Go (Mobile App),7,33.641999999999996,42.487199999999994,37.4598,38.367,43.3566,10.284680053360924,63.7686
Snapchat (Mobile App),823,30.1266,359.980882381531,113.4945,214.4016,537.327,321.8324724492226,1250.046
Tumblr (Mobile App),150,30.3156,537.850908,159.25140000000002,302.3055,733.3011,552.3466035739993,2255.2236
Walmart (Mobile App),602,30.051,70.68355116279069,40.0302,61.3494,91.7406,35.67875708454465,156.4164
Yahoo Mail (Mobile App),396,30.429000000000002,248.29521818181817,99.55574999999999,177.9435,376.4124,185.19718709380803,724.2858
Yahoo Newsroom (Mobile App),45,30.0888,132.17148,58.023,99.225,179.5878,105.41108346253813,432.0918
YouTube (Mobile App),1755,30.0888,520.1034676923077,110.3193,263.1258,715.554,573.9490560939274,2497.5216
